date,close,volume,open,high,low
12/19/2018,160.89,47597670,166,167.45,159.09
12/18/2018,166.07,33753490,165.38,167.53,164.39
12/17/2018,163.94,43250420,165.45,168.35,162.73
12/14/2018,165.48,40620360,169,169.08,165.28
12/13/2018,170.95,31754210,170.49,172.57,169.55
12/12/2018,169.1,35474680,170.4,171.92,169.02
12/11/2018,168.63,45968040,171.66,171.79,167
12/10/2018,169.6,61759000,165,170.09,163.33
12/7/2018,168.49,41678680,173.49,174.49,168.3
12/6/2018,174.72,42704910,171.76,174.78,170.42
12/4/2018,176.69,41141250,180.95,182.3899,176.27
12/3/2018,184.82,40537700,184.46,184.94,181.21
11/30/2018,178.58,39424260,180.29,180.33,177.03
11/29/2018,179.55,41523580,182.66,182.8,177.7
11/28/2018,180.94,45941750,176.73,181.29,174.93
11/27/2018,174.24,41156140,171.51,174.77,170.88
11/26/2018,174.62,44662320,174.24,174.95,170.26
11/23/2018,172.29,23623970,174.94,176.595,172.1
11/21/2018,176.78,31096240,179.73,180.27,176.55
11/20/2018,176.98,67678680,178.37,181.47,175.51
11/19/2018,185.86,41626820,190,190.7,184.99
11/16/2018,193.53,36191330,190.5,194.9695,189.46
11/15/2018,191.41,46271660,188.39,191.97,186.9
11/14/2018,186.8,60547340,193.9,194.48,185.93
11/13/2018,192.23,46725710,191.63,197.18,191.4501
11/12/2018,194.17,50991030,199,199.85,193.79
11/9/2018,204.47,34317760,205.55,206.01,202.25
11/8/2018,208.49,25289270,209.98,210.12,206.75
11/7/2018,209.95,33291640,205.97,210.06,204.13
11/6/2018,203.77,31774720,201.92,204.72,201.69
11/5/2018,201.59,66072170,204.3,204.39,198.17
11/2/2018,207.48,91046560,209.55,213.65,205.43
11/1/2018,222.22,52954070,219.05,222.36,216.81
10/31/2018,218.86,38016810,216.88,220.45,216.62
10/30/2018,213.3,36487930,211.15,215.18,209.27
10/29/2018,212.24,45713690,219.19,219.69,206.09
10/26/2018,216.3,47191700,215.9,220.19,212.67
10/25/2018,219.8,29027340,217.71,221.38,216.75
10/24/2018,215.09,39992120,222.6,224.23,214.54
10/23/2018,222.73,38681170,215.83,223.25,214.7
10/22/2018,220.65,28751540,219.79,223.36,218.94
10/19/2018,219.31,32874330,218.06,221.26,217.43
10/18/2018,216.02,32389280,217.86,219.74,213
10/17/2018,221.19,22692880,222.3,222.64,219.34
10/16/2018,222.15,28802550,218.93,222.99,216.7627
10/15/2018,217.36,30280450,221.16,221.83,217.27
10/12/2018,222.11,39494770,220.42,222.88,216.84
10/11/2018,214.45,52902320,214.52,219.5,212.32
10/10/2018,216.36,41084070,225.46,226.35,216.05
10/9/2018,226.87,26656630,223.64,227.27,222.2462
10/8/2018,223.77,28784550,222.21,224.8,220.2
10/5/2018,224.29,33507770,227.96,228.41,220.58
10/4/2018,227.99,31961120,230.78,232.35,226.73
10/3/2018,232.07,28540490,230.05,233.47,229.78
10/2/2018,229.28,24435010,227.25,230,226.63
10/1/2018,227.26,23171020,227.95,229.42,226.35
9/28/2018,225.74,22560440,224.79,225.84,224.02
9/27/2018,224.95,29729270,223.82,226.44,223.54
9/26/2018,220.42,23430370,221,223.75,219.76
9/25/2018,222.19,22811140,219.75,222.82,219.7
9/24/2018,220.79,27581270,216.82,221.26,216.63
9/21/2018,217.66,95584080,220.78,221.36,217.29
9/20/2018,220.03,26388050,220.24,222.28,219.15
9/19/2018,218.37,26869880,218.5,219.62,215.3
9/18/2018,218.24,31495630,217.79,221.85,217.12
9/17/2018,217.88,36810120,222.15,222.95,217.27
9/14/2018,223.84,31801970,225.75,226.84,222.522
9/13/2018,226.41,41411350,223.52,228.35,222.57
9/12/2018,221.07,49118510,224.94,225,219.84
9/11/2018,223.85,35644510,218.01,224.299,216.56
9/10/2018,218.33,39194720,220.95,221.85,216.47
9/7/2018,221.3,37418910,221.85,225.37,220.71
9/6/2018,223.1,34121240,226.23,227.35,221.3
9/5/2018,226.87,33290830,228.99,229.67,225.1
9/4/2018,228.36,27363960,228.41,229.18,226.63
8/31/2018,227.63,43177540,226.51,228.87,226
8/30/2018,225.03,48696960,223.25,228.26,222.4
8/29/2018,222.98,27074260,220.15,223.49,219.41
8/28/2018,219.7,22751390,219.01,220.54,218.92
8/27/2018,217.94,20400770,217.15,218.74,216.33
8/24/2018,216.16,18457720,216.6,216.9,215.11
8/23/2018,215.49,18505780,214.65,217.05,214.6
8/22/2018,215.05,18965930,214.1,216.36,213.84
8/21/2018,215.04,25682700,216.8,217.19,214.025
8/20/2018,215.46,30149410,218.1,219.18,215.11
8/17/2018,217.58,35034410,213.44,217.95,213.16
8/16/2018,213.32,27595310,211.75,213.8121,211.47
8/15/2018,210.24,28595230,209.22,210.74,208.33
8/14/2018,209.75,20679270,210.155,210.56,208.26
8/13/2018,208.87,25864510,207.7,210.952,207.7
8/10/2018,207.53,24592460,207.36,209.1,206.67
8/9/2018,208.88,23389530,207.28,209.78,207.2
8/8/2018,207.25,22493750,206.05,207.81,204.52
8/7/2018,207.11,25525650,209.32,209.5,206.76
8/6/2018,209.07,25396100,208,209.25,207.07
8/3/2018,207.99,33408050,207.03,208.74,205.4803
8/2/2018,207.39,62317430,200.58,208.38,200.35
8/1/2018,201.5,67812280,199.13,201.76,197.31
7/31/2018,190.29,37847260,190.3,192.14,189.34
7/30/2018,189.91,20912890,191.9,192.2,189.07
7/27/2018,190.98,23975350,194.99,195.19,190.1
7/26/2018,194.21,19005150,194.61,195.96,193.61
7/25/2018,194.82,16553500,193.06,194.85,192.43
7/24/2018,193,18680930,192.45,193.6601,192.05
7/23/2018,191.61,15955820,190.68,191.96,189.56
7/20/2018,191.44,20670830,191.78,192.43,190.17
7/19/2018,191.88,20182050,189.69,192.55,189.69
7/18/2018,190.4,16365720,191.78,191.8,189.93
7/17/2018,191.45,15515000,189.75,191.87,189.2
7/16/2018,190.91,15009800,191.52,192.65,190.415
7/13/2018,191.33,12506830,191.08,191.84,190.9
7/12/2018,191.03,18000180,189.53,191.41,189.31
7/11/2018,187.88,18776390,188.5,189.7799,187.61
7/10/2018,190.35,15801370,190.71,191.28,190.1801
7/9/2018,190.58,19636390,189.5,190.68,189.3
7/6/2018,187.97,17426160,185.42,188.434,185.2
7/5/2018,185.4,16543880,185.26,186.41,184.28
7/3/2018,183.92,13954810,187.79,187.95,183.54
7/2/2018,187.18,17675210,183.82,187.3,183.42
6/29/2018,185.11,22551660,186.29,187.19,182.91
6/28/2018,185.5,17352380,184.1,186.21,183.8
6/27/2018,184.16,24987260,185.228,187.28,184.03
6/26/2018,184.43,24378480,182.99,186.53,182.54
6/25/2018,182.17,31632320,183.4,184.92,180.73
6/22/2018,184.92,27185130,186.12,186.15,184.7
6/21/2018,185.46,25649240,187.25,188.35,184.94
6/20/2018,186.5,20490090,186.35,187.2,185.73
6/19/2018,185.69,33538550,185.14,186.33,183.45
6/18/2018,188.74,18458410,187.88,189.22,187.2
6/15/2018,188.84,61438290,190.03,190.16,188.26
6/14/2018,190.8,21584720,191.55,191.57,190.22
6/13/2018,190.7,21480120,192.42,192.88,190.44
6/12/2018,192.28,16859020,191.385,192.611,191.15
6/11/2018,191.23,18069930,191.35,191.97,190.21
6/8/2018,191.7,26580710,191.17,192,189.77
6/7/2018,193.46,21329170,194.14,194.2,192.335
6/6/2018,193.98,20912820,193.63,194.08,191.92
6/5/2018,193.31,21535570,193.065,193.94,192.36
6/4/2018,191.83,26190620,191.635,193.42,191.35
6/1/2018,190.24,23377690,187.991,190.26,187.75
5/31/2018,186.87,27468700,187.22,188.23,186.14
5/30/2018,187.5,18503410,187.72,188,186.78
5/29/2018,187.9,22409110,187.6,188.75,186.87
5/25/2018,188.58,17186760,188.23,189.65,187.65
5/24/2018,188.15,23129400,188.77,188.84,186.21
5/23/2018,188.36,19966590,186.35,188.5,185.76
5/22/2018,187.16,15228270,188.375,188.88,186.78
5/21/2018,187.63,18383080,188,189.27,186.9106
5/18/2018,186.31,18083080,187.19,187.8102,186.13
5/17/2018,186.99,17014490,188,188.91,186.36
5/16/2018,188.18,19046600,186.07,188.46,186
5/15/2018,186.44,23639070,186.78,187.07,185.1
5/14/2018,188.15,20393070,189.01,189.53,187.86
5/11/2018,188.59,26167950,189.49,190.06,187.45
5/10/2018,190.04,27942430,187.74,190.37,187.65
5/9/2018,187.36,23141260,186.55,187.4,185.22
5/8/2018,186.05,28053230,184.99,186.22,183.665
5/7/2018,185.16,42557530,185.18,187.67,184.75
5/4/2018,183.83,56137230,178.25,184.25,178.17
5/3/2018,176.89,33944110,175.88,177.5,174.4411
5/2/2018,176.57,66454720,175.225,177.75,173.8
5/1/2018,169.1,52228910,166.41,169.2,165.27
4/30/2018,165.26,41976500,162.13,167.26,161.84
4/27/2018,162.32,35617230,164,164.33,160.63
4/26/2018,164.22,27850370,164.12,165.73,163.37
4/25/2018,163.65,28331540,162.62,165.42,162.41
4/24/2018,162.94,33674960,165.67,166.33,161.2201
4/23/2018,165.24,36396590,166.835,166.92,164.09
4/20/2018,165.72,65270950,170.595,171.2184,165.43
4/19/2018,172.8,34693280,174.95,175.39,172.66
4/18/2018,177.84,20544600,177.81,178.82,176.88
4/17/2018,178.24,26575010,176.49,178.9365,176.41
4/16/2018,175.82,21561320,175.0301,176.19,174.8301
4/13/2018,174.73,25100510,174.78,175.84,173.85
4/12/2018,174.14,22858840,173.41,175,173.04
4/11/2018,172.44,22401040,172.23,173.9232,171.7
4/10/2018,173.25,28567110,173,174,171.53
4/9/2018,170.05,28976200,169.88,173.09,169.845
4/6/2018,168.38,34949690,170.97,172.48,168.2
4/5/2018,172.8,26750260,172.58,174.2304,172.08
4/4/2018,171.61,34581850,164.88,172.01,164.77
4/3/2018,168.39,30237640,167.64,168.7455,164.88
4/2/2018,166.68,37425640,167.88,168.94,164.47
3/29/2018,167.78,38116290,167.805,171.75,166.9
3/28/2018,166.48,41464880,167.25,170.02,165.19
3/27/2018,168.34,39824200,173.68,175.15,166.92
3/26/2018,172.77,36778560,168.07,173.1,166.44
3/23/2018,164.94,40984540,168.39,169.92,164.94
3/22/2018,168.85,41335980,170,172.68,168.6
3/21/2018,171.27,36387880,175.04,175.09,171.26
3/20/2018,175.24,19620520,175.24,176.8,174.94
3/19/2018,175.3,32931110,177.32,177.47,173.66
3/16/2018,178.02,38313330,178.65,179.12,177.62
3/15/2018,178.65,22676520,178.5,180.24,178.0701
3/14/2018,178.44,29334630,180.32,180.52,177.81
3/13/2018,179.97,31464170,182.59,183.5,179.24
3/12/2018,181.72,32191070,180.29,182.39,180.21
3/9/2018,179.98,32130360,177.96,180,177.39
3/8/2018,176.94,24518850,175.48,177.12,175.07
3/7/2018,175.03,31686450,174.94,175.85,174.27
3/6/2018,176.67,23273160,177.91,178.25,176.13
3/5/2018,176.82,27825140,175.21,177.74,174.52
3/2/2018,176.21,38426060,172.8,176.3,172.45
3/1/2018,175,48706170,178.54,179.775,172.66
2/28/2018,178.12,37568080,179.26,180.615,178.05
2/27/2018,178.39,38885510,179.1,180.48,178.16
2/26/2018,178.97,37353670,176.35,179.39,176.21
2/23/2018,175.5,33772050,173.67,175.65,173.54
2/22/2018,172.5,30953760,171.8,173.95,171.71
2/21/2018,171.07,37378070,172.83,174.12,171.01
2/20/2018,171.85,33690660,172.05,174.26,171.42
2/16/2018,172.43,40113790,172.36,174.82,171.77
2/15/2018,172.99,50908540,169.79,173.09,169
2/14/2018,167.37,40382890,163.045,167.54,162.88
2/13/2018,164.34,32483310,161.95,164.75,161.65
2/12/2018,162.71,60774900,158.5,163.89,157.51
2/9/2018,156.41,70583530,157.07,157.89,150.24
2/8/2018,155.15,54145930,160.29,161,155.03
2/7/2018,159.54,51467440,163.085,163.4,159.0685
2/6/2018,163.03,68171940,154.83,163.72,154
2/5/2018,156.49,72215320,159.1,163.88,156
2/2/2018,160.5,85957050,166,166.8,160.1
2/1/2018,167.78,44453230,167.165,168.62,166.76
1/31/2018,167.43,32234520,166.87,168.4417,166.5
1/30/2018,166.97,45635470,165.525,167.37,164.7
1/29/2018,167.96,50565420,170.16,170.16,167.07
1/26/2018,171.51,39075250,172,172,170.06
1/25/2018,171.11,41438280,174.505,174.95,170.53
1/24/2018,174.22,51368540,177.25,177.3,173.2
1/23/2018,177.04,32395870,177.3,179.44,176.82
1/22/2018,177,27052000,177.3,177.78,176.6016
1/19/2018,178.46,31306390,178.61,179.58,177.41
1/18/2018,179.26,31087330,179.37,180.1,178.25
1/17/2018,179.1,34260230,176.15,179.25,175.07
1/16/2018,176.19,29512410,177.9,179.39,176.14
1/12/2018,177.09,25302200,176.18,177.36,175.65
1/11/2018,175.28,18653380,174.59,175.4886,174.49
1/10/2018,174.29,23751690,173.16,174.3,173
1/9/2018,174.33,21532200,174.55,175.06,173.41
1/8/2018,174.35,20523870,174.35,175.61,173.93
1/5/2018,175,23589930,173.44,175.37,173.05
1/4/2018,173.03,22342650,172.54,173.47,172.08
1/3/2018,172.23,29461040,172.53,174.55,171.96
1/2/2018,172.26,25400540,170.16,172.3,169.26
12/29/2017,169.23,25938760,170.52,170.59,169.22
12/28/2017,171.08,16412270,171,171.85,170.48
12/27/2017,170.6,21477380,170.1,170.78,169.71
12/26/2017,170.57,33113340,170.8,171.47,169.679
12/22/2017,175.01,16339690,174.68,175.424,174.5
12/21/2017,175.01,20848660,174.17,176.02,174.1
12/20/2017,174.35,23451420,174.87,175.42,173.25
12/19/2017,174.54,27393660,175.03,175.39,174.09
12/18/2017,176.42,29385650,174.88,177.2,174.86
12/15/2017,173.97,40122100,173.63,174.17,172.46
12/14/2017,172.22,20442740,172.4,173.13,171.65
12/13/2017,172.27,23402510,172.5,173.54,172
12/12/2017,171.7,19088170,172.15,172.39,171.461
12/11/2017,172.67,34260890,169.2,172.89,168.79
12/8/2017,169.37,23285760,170.49,171,168.82
12/7/2017,169.32,25656110,169.03,170.44,168.91
12/6/2017,169.01,28397810,167.5,170.2047,166.46
12/5/2017,169.64,27315530,169.06,171.52,168.4
12/4/2017,169.8,32512580,172.48,172.62,169.63
12/1/2017,171.05,39735110,169.95,171.67,168.5
11/30/2017,171.85,41484540,170.43,172.14,168.44
11/29/2017,169.48,41459120,172.63,172.92,167.16
11/28/2017,173.07,26387240,174.3,174.87,171.86
11/27/2017,174.09,20591090,175.05,175.08,173.34
11/24/2017,174.97,14026670,175.1,175.5,174.6459
11/22/2017,174.96,25558680,173.36,175,173.05
11/21/2017,173.14,25047130,170.78,173.7,170.78
11/20/2017,169.98,16041550,170.29,170.56,169.56
11/17/2017,170.15,21884010,171.04,171.39,169.64
11/16/2017,171.1,23598650,171.18,171.87,170.3
11/15/2017,169.08,28998220,169.97,170.3197,168.38
11/14/2017,171.34,24683350,173.04,173.48,171.18
11/13/2017,173.97,16956290,173.5,174.5,173.4
11/10/2017,174.67,25129510,175.11,175.38,174.27
11/9/2017,175.88,29422610,175.11,176.095,173.14
11/8/2017,176.24,24358920,174.66,176.24,174.33
11/7/2017,174.81,24332120,173.91,175.25,173.6
11/6/2017,174.25,34770480,172.365,174.99,171.72
11/3/2017,172.5,59332210,174,174.26,171.12
11/2/2017,168.11,39668100,167.64,168.5,165.28
11/1/2017,166.89,33482970,169.87,169.94,165.61
10/31/2017,169.04,35779520,167.9,169.6499,166.94
10/30/2017,166.72,44651420,163.89,168.07,163.72
10/27/2017,163.05,44387770,159.29,163.6,158.7
10/26/2017,157.41,16916650,157.23,157.8295,156.78
10/25/2017,156.41,21175670,156.91,157.55,155.27
10/24/2017,157.1,17633730,156.29,157.42,156.2
10/23/2017,156.17,21888930,156.89,157.69,155.5
10/20/2017,156.25,23907540,156.61,157.75,155.96
10/19/2017,155.98,42357420,156.75,157.08,155.02
10/18/2017,159.76,16252850,160.42,160.71,159.6
10/17/2017,160.47,18969700,159.78,160.87,159.23
10/16/2017,159.88,24093300,157.9,160,157.65
10/13/2017,156.99,16367780,156.73,157.28,156.41
10/12/2017,156,16380570,156.35,157.37,155.7299
10/11/2017,156.55,16861450,155.97,156.98,155.75
10/10/2017,155.9,15603520,156.055,158,155.1
10/9/2017,155.84,16243080,155.81,156.73,155.485
10/6/2017,155.3,17223790,154.97,155.49,154.56
10/5/2017,155.39,21215870,154.18,155.44,154.05
10/4/2017,153.48,20088940,153.63,153.86,152.46
10/3/2017,154.48,16216800,154.01,155.09,153.91
10/2/2017,153.81,18631540,154.26,154.45,152.72
9/29/2017,154.12,26204670,153.21,154.13,152
9/28/2017,153.28,21983410,153.89,154.28,152.7
9/27/2017,154.23,25402270,153.8,154.7189,153.54
9/26/2017,153.14,35907770,151.78,153.92,151.69
9/25/2017,150.55,44366140,149.99,151.83,149.16
9/22/2017,151.89,46575410,152.02,152.27,150.56
9/21/2017,153.39,37350060,155.8,155.8,152.75
9/20/2017,156.07,52126240,157.9,158.26,153.83
9/19/2017,158.73,20565620,159.51,159.77,158.44
9/18/2017,158.67,28157630,160.11,160.5,157.995
9/15/2017,159.88,48846060,158.47,160.97,158
9/14/2017,158.28,23637310,158.99,159.4,158.09
9/13/2017,159.65,44866280,159.87,159.96,157.91
9/12/2017,160.86,71574560,162.61,163.96,158.77
9/11/2017,161.5,31506890,160.5,162.05,159.89
9/8/2017,158.63,28411740,160.86,161.15,158.53
9/7/2017,161.26,21905160,162.09,162.24,160.36
9/6/2017,161.91,21610300,162.71,162.99,160.52
9/5/2017,162.08,29491910,163.75,164.25,160.56
9/1/2017,164.05,16564340,164.8,164.94,163.63
8/31/2017,164,26729940,163.64,164.52,163.48
8/30/2017,163.35,27215770,163.8,163.89,162.61
8/29/2017,162.91,29451050,160.1,163.12,160
8/28/2017,161.47,25649890,160.14,162,159.93
8/25/2017,159.86,25184600,159.65,160.56,159.27
8/24/2017,159.27,19782170,160.43,160.74,158.55
8/23/2017,159.98,19376940,159.07,160.47,158.88
8/22/2017,159.78,21564890,158.23,160,158.02
8/21/2017,157.21,26330070,157.5,157.89,155.1101
8/18/2017,157.5,27391950,157.86,159.5,156.72
8/17/2017,157.86,27377960,160.52,160.71,157.84
8/16/2017,160.95,27607370,161.94,162.51,160.15
